mean_fit_time	mean_score_time	mean_test_accuracy	mean_test_precision	mean_test_recall	mean_test_roc_auc	mean_train_accuracy	mean_train_precision	mean_train_recall	mean_train_roc_auc	param_C	param_dual	param_loss	param_penalty	params	rank_test_accuracy	rank_test_precision	rank_test_recall	rank_test_roc_auc	split0_test_accuracy	split0_test_precision	split0_test_recall	split0_test_roc_auc	split0_train_accuracy	split0_train_precision	split0_train_recall	split0_train_roc_auc	split1_test_accuracy	split1_test_precision	split1_test_recall	split1_test_roc_auc	split1_train_accuracy	split1_train_precision	split1_train_recall	split1_train_roc_auc	split2_test_accuracy	split2_test_precision	split2_test_recall	split2_test_roc_auc	split2_train_accuracy	split2_train_precision	split2_train_recall	split2_train_roc_auc	split3_test_accuracy	split3_test_precision	split3_test_recall	split3_test_roc_auc	split3_train_accuracy	split3_train_precision	split3_train_recall	split3_train_roc_auc	split4_test_accuracy	split4_test_precision	split4_test_recall	split4_test_roc_auc	split4_train_accuracy	split4_train_precision	split4_train_recall	split4_train_roc_auc	split5_test_accuracy	split5_test_precision	split5_test_recall	split5_test_roc_auc	split5_train_accuracy	split5_train_precision	split5_train_recall	split5_train_roc_auc	split6_test_accuracy	split6_test_precision	split6_test_recall	split6_test_roc_auc	split6_train_accuracy	split6_train_precision	split6_train_recall	split6_train_roc_auc	split7_test_accuracy	split7_test_precision	split7_test_recall	split7_test_roc_auc	split7_train_accuracy	split7_train_precision	split7_train_recall	split7_train_roc_auc	split8_test_accuracy	split8_test_precision	split8_test_recall	split8_test_roc_auc	split8_train_accuracy	split8_train_precision	split8_train_recall	split8_train_roc_auc	split9_test_accuracy	split9_test_precision	split9_test_recall	split9_test_roc_auc	split9_train_accuracy	split9_train_precision	split9_train_recall	split9_train_roc_auc	std_fit_time	std_score_time	std_test_accuracy	std_test_precision	std_test_recall	std_test_roc_auc	std_train_accuracy	std_train_precision	std_train_recall	std_train_roc_auc
2.088706946372986	0.05266947746276855	0.7737426967579333	0.3944900699547198	0.8053984865849686	0.8603042754190516	0.781940067119755	0.4064443476488022	0.830307870551173	0.874525956722181	0.001	True	hinge	l2	{'C': 0.001, 'dual': True, 'loss': 'hinge', 'penalty': 'l2'}	3	4	16	13	0.799771167048055	0.4296577946768061	0.8188405797101449	0.8863520006301197	0.7781031190324634	0.4011764705882353	0.8256658595641646	0.8724061340766093	0.799771167048055	0.42911877394636017	0.8115942028985508	0.8749310806553247	0.7789942711648632	0.4025872206977656	0.8288942695722357	0.8723660595343009	0.7502863688430699	0.3611111111111111	0.7536231884057971	0.8262545597949325	0.7862780040733197	0.4117882919005613	0.8288942695722357	0.8777705040566751	0.7663230240549829	0.3854166666666667	0.8043478260869565	0.8587005816819482	0.7823319755600815	0.4069537732121691	0.831315577078289	0.8738019553177223	0.7594501718213058	0.38	0.8260869565217391	0.8546978211574485	0.7814409368635438	0.40605345911949686	0.8337368845843423	0.8748956969129457	0.7686139747995419	0.391156462585034	0.8333333333333334	0.86281179138322	0.7836048879837068	0.40849543469630806	0.8305084745762712	0.8745500223639481	0.7583046964490263	0.3701067615658363	0.7536231884057971	0.8357586512866017	0.7832230142566191	0.4087332808811959	0.8385794995964487	0.8774674594494116	0.7809633027522935	0.4035714285714286	0.8248175182481752	0.8697651323303043	0.7809596538118875	0.4047524752475248	0.8241935483870968	0.8743234069625159	0.7821100917431193	0.4070175438596491	0.8467153284671532	0.8821292020457817	0.7810869288532519	0.4050632911392405	0.8258064516129032	0.8717197760411843	0.7717889908256881	0.38768115942028986	0.781021897810219	0.8516212324345797	0.7833778795978109	0.4088397790055249	0.8354838709677419	0.875958552506496	0.22064119991826514	0.026466462669033075	0.01598997617177509	0.021764176536711623	0.0307678040897243	0.018266062562666933	0.0022537578935391458	0.0030257564271253447	0.004372838763058376	0.0019740263855679355
3.537416768074036	0.006313943862915039	0.7695039523427655	0.39079764254667765	0.8184726719017967	0.8618762035552343	0.7777140334825148	0.4025029041127195	0.8441870394959515	0.8775561072713112	0.00332742119199	True	hinge	l2	{'C': 0.0033274211919892436, 'dual': True, 'loss': 'hinge', 'penalty': 'l2'}	4	5	15	3	0.7940503432494279	0.4227941176470588	0.8333333333333334	0.8852886735979837	0.7702100572883513	0.39328808446455504	0.8418079096045198	0.8755066959253521	0.7963386727688787	0.424812030075188	0.8188405797101449	0.879440374921235	0.7767027371101209	0.40107568190549364	0.8426150121065376	0.8756378988789375	0.7399770904925544	0.3521594684385382	0.7681159420289855	0.8288671990535345	0.7815682281059063	0.4074505238649593	0.847457627118644	0.8806277469325652	0.7640320733104238	0.3835616438356164	0.8115942028985508	0.8583752341516316	0.779786150712831	0.4052489386337321	0.847457627118644	0.8769634015546571	0.7571592210767468	0.3790849673202614	0.8405797101449275	0.8559203391501528	0.7788951120162932	0.4038610038610039	0.8442292171105731	0.8778258802900006	0.7686139747995419	0.3918918918918919	0.8405797101449275	0.8621709553386572	0.7787678207739308	0.4037051331532227	0.8442292171105731	0.8778180739487389	0.7537227949599083	0.36769759450171824	0.7753623188405797	0.8406388642413487	0.7787678207739308	0.40436949022614027	0.8514931396287329	0.8800178155344484	0.7786697247706422	0.4020979020979021	0.8394160583941606	0.8685088633993744	0.7770141275295914	0.40100541376643467	0.8362903225806452	0.877574136998055	0.7763761467889908	0.4013605442176871	0.8613138686131386	0.8883261333730572	0.7754868270332188	0.3994627782041443	0.839516129032258	0.8750776957689628	0.7660550458715596	0.3824561403508772	0.7956204379562044	0.8512041312875515	0.7799414534809724	0.4055619930475087	0.8467741935483871	0.8785117268813953	0.3618911414596715	0.001476321167655961	0.016647630087619592	0.02170150367399759	0.029041810258150336	0.018173993194889666	0.0030084624588125795	0.0038286591971528803	0.004168651840736151	0.0017585036154740034
7.192638230323792	0.006381678581237793	0.7643487226486425	0.38570775257483764	0.8242668138976562	0.8614770164326728	0.7740480602544972	0.39868547065438803	0.8502386810382984	0.8779499024673175	0.0110717317889	True	hinge	l2	{'C': 0.011071731788899112, 'dual': True, 'loss': 'hinge', 'penalty': 'l2'}	6	6	7	4	0.7906178489702517	0.41818181818181815	0.8333333333333334	0.8831620195337114	0.7675366008911522	0.3909327387588257	0.8490718321226796	0.8759796609193552	0.7963386727688787	0.4253731343283582	0.8260869565217391	0.88145872715816	0.7704646721833227	0.39469753547423453	0.8531073446327684	0.8764506130368037	0.736540664375716	0.35161290322580646	0.7898550724637681	0.8310953366853987	0.7810590631364562	0.4075355632449058	0.8555286521388217	0.8806003027640669	0.7651775486827033	0.3856655290102389	0.8188405797101449	0.8579611554766834	0.7744399185336049	0.39870771569745345	0.8466505246166263	0.8772286951834751	0.7399770904925544	0.3630769230769231	0.855072463768116	0.8571527161589274	0.7712576374745418	0.3951127819548872	0.8482647296206618	0.8783256081048362	0.7605956471935853	0.38436482084690554	0.855072463768116	0.8614611061816031	0.7774949083503055	0.40260237275162647	0.8490718321226796	0.8784253829040882	0.7537227949599083	0.36769759450171824	0.7753623188405797	0.8390219856058366	0.7758401221995926	0.4014350453172205	0.8579499596448749	0.8806542762954471	0.7660550458715596	0.3872053872053872	0.8394160583941606	0.8658870847609116	0.7745959017436681	0.39939370973853733	0.85	0.8776523812077396	0.7740825688073395	0.3979591836734694	0.8540145985401459	0.8872039326679577	0.7715413007509228	0.39476678043230945	0.839516129032258	0.8753698318602622	0.7603211009174312	0.3758620689655172	0.7956204379562044	0.8503401360544217	0.7762504772814052	0.40167046317388005	0.853225806451613	0.8788122723971004	0.5404063697648253	0.0010853742583726378	0.018233116616618947	0.022093558882882187	0.02742725045631676	0.017702060797528233	0.0037264032095149797	0.004634300550848965	0.00489003348347784	0.001698361608734031
17.041306567192077	0.005541038513183594	0.7597662962538664	0.38065149686675914	0.8250012721892808	0.8605080523163974	0.7704458444489857	0.39478580916460626	0.8536272748574554	0.8775395749708995	0.0368403149864	True	hinge	l2	{'C': 0.036840314986403867, 'dual': True, 'loss': 'hinge', 'penalty': 'l2'}	8	7	4	12	0.7929061784897025	0.4218181818181818	0.8405797101449275	0.8815768746061752	0.7662635264162954	0.38964879852125694	0.8506860371267151	0.8759279360915353	0.7871853546910755	0.41304347826086957	0.8260869565217391	0.8813602709514807	0.7672819859961808	0.39152854511970536	0.8579499596448749	0.876076339990221	0.7296678121420389	0.34394904458598724	0.782608695652174	0.8289066351178153	0.7766038696537678	0.4016768292682927	0.8506860371267151	0.8806172571614949	0.7628865979381443	0.3822525597269625	0.8115942028985508	0.8580696046534555	0.7717668024439919	0.3962546816479401	0.8539144471347861	0.876154347467324	0.738831615120275	0.3619631901840491	0.855072463768116	0.8537316375825693	0.767693482688391	0.3913204747774481	0.8514931396287329	0.877475692699961	0.7468499427262314	0.36908517350157727	0.8478260869565217	0.8597752144335996	0.7721486761710794	0.39654524971836275	0.8523002421307506	0.8776747544021362	0.7514318442153494	0.36610169491525424	0.782608695652174	0.8402149265503304	0.7746945010183299	0.400375234521576	0.8611783696529459	0.8808408966412362	0.7614678899082569	0.38205980066445183	0.8394160583941606	0.8643726103580118	0.7698867252131857	0.39418777943368105	0.853225806451613	0.877084440371087	0.7649082568807339	0.3881578947368421	0.8613138686131386	0.8861711107800784	0.7672139493445336	0.39064240623839586	0.8483870967741935	0.8748996353478575	0.7614678899082569	0.37800687285223367	0.8029197080291971	0.8508764089577437	0.7709049255441008	0.3956780923994039	0.8564516129032258	0.8786444495361411	1.5787557532819148	0.001377264113443527	0.01864129466574306	0.02203916339075488	0.027305564261771133	0.017630525932591633	0.003265925877915085	0.0038898565254653567	0.003674261024075367	0.0018827552975759997
48.54872150421143	0.005780529975891113	0.7561003551380456	0.3775298817296497	0.8329809741684436	0.8584426527534199	0.7652650309003001	0.3892344930254161	0.8570165195657269	0.8756255803869489	0.122583244805	True	hinge	l2	{'C': 0.12258324480531914, 'dual': True, 'loss': 'hinge', 'penalty': 'l2'}	17	17	2	15	0.7917620137299771	0.42142857142857143	0.855072463768116	0.87851488657845	0.7628262253341821	0.3858814923189466	0.8514931396287329	0.8749584615474703	0.7837528604118993	0.4098939929328622	0.8405797101449275	0.8768411310649025	0.7581158497772119	0.38158366176997494	0.8595641646489104	0.872576252643578	0.7250859106529209	0.3416149068322981	0.7971014492753623	0.8277925663018831	0.7716395112016293	0.39649384558000744	0.8579499596448749	0.8786087099496578	0.7594501718213058	0.3783783783783784	0.8115942028985508	0.8570245489500148	0.7651476578411406	0.3886847905951506	0.8539144471347861	0.8750567027014697	0.7422680412371134	0.3653250773993808	0.855072463768116	0.8530119294094449	0.7610743380855397	0.38425253991291725	0.8547215496368039	0.8761193409057283	0.738831615120275	0.3644578313253012	0.8768115942028986	0.8611061816030761	0.7662932790224033	0.390619274459509	0.8603712671509282	0.8758989337391654	0.7411225658648339	0.35526315789473684	0.782608695652174	0.8357389332544612	0.767438900203666	0.3925438596491228	0.8668280871670703	0.8777587335577411	0.7637614678899083	0.38461538461538464	0.8394160583941606	0.8633447539599781	0.7705231004200076	0.39476635514018693	0.8516129032258064	0.8760316779361078	0.7603211009174312	0.38387096774193546	0.8686131386861314	0.8849992551765231	0.7642866233931526	0.38741721854304634	0.8491935483870968	0.8736010495936664	0.7545871559633027	0.37037037037037035	0.8029197080291971	0.8460300908684641	0.7653048237240677	0.3901018922852984	0.864516129032258	0.875645941294905	4.932302534416882	0.0009928485935699022	0.01950611134875071	0.022861090776790643	0.030742388656166415	0.017659086713906477	0.003868557959711244	0.004417283727282129	0.0055400591336053585	0.001676277116574466
100.92620339393616	0.005996894836425781	0.7572459617367396	0.3778571892961703	0.8278981917000372	0.8575117855944892	0.7658759802486832	0.3898285043198902	0.8556446405790311	0.8741430318716779	0.407886086548	True	hinge	l2	{'C': 0.40788608654802422, 'dual': True, 'loss': 'hinge', 'penalty': 'l2'}	14	15	3	16	0.7929061784897025	0.4223826714801444	0.8478260869565217	0.875679347826087	0.7626989178866964	0.38548919017955297	0.8490718321226796	0.8731356493368975	0.7768878718535469	0.4013840830449827	0.8405797101449275	0.8783967391304349	0.754551241247613	0.37873988032382966	0.8684422921711057	0.8711700448834873	0.7376861397479955	0.35555555555555557	0.8115942028985508	0.8284925564428669	0.7712576374745418	0.39558383233532934	0.8531073446327684	0.8769682805179458	0.7537227949599083	0.37209302325581395	0.8115942028985508	0.8577836931874199	0.7657841140529531	0.38923700700331737	0.8523002421307506	0.873546053693235	0.7399770904925544	0.3613707165109034	0.8405797101449275	0.8476091886029774	0.7632382892057027	0.38663745892661555	0.8547215496368039	0.8737065715854302	0.7537227949599083	0.37777777777777777	0.8623188405797102	0.8599132406585823	0.7720213849287169	0.3967838444278235	0.8563357546408394	0.8750254773364227	0.7457044673539519	0.3581081081081081	0.7681159420289855	0.8330079858030168	0.7689663951120163	0.39356984478935697	0.8595641646489104	0.8750643260816082	0.7522935779816514	0.37216828478964403	0.8394160583941606	0.8586871244848304	0.762122947689958	0.38633899530177085	0.8620967741935484	0.8739597298259127	0.7649082568807339	0.3881578947368421	0.8613138686131386	0.8860817319628582	0.7679775995927198	0.3911094508778483	0.8443548387096774	0.872928905019817	0.7545871559633027	0.3694915254237288	0.7956204379562044	0.8494463478822186	0.7701412752959145	0.39479553903345727	0.8564516129032258	0.8759252804360225	3.6420464495525295	0.0017194290612582404	0.016089392535798556	0.019849503962975364	0.02880831271718717	0.01787624970074291	0.005082154940869011	0.005350766163087748	0.006411223223419017	0.0015714320940014585
129.66977114677428	0.005924439430236817	0.7499140795050979	0.3784404113006213	0.8351481920848146	0.8601282501232013	0.75710517941613	0.38741765806018297	0.8577442135957718	0.8738480499021641	1.3572088083	True	hinge	l2	{'C': 1.3572088082974532, 'dual': True, 'loss': 'hinge', 'penalty': 'l2'}	20	10	1	14	0.8295194508009154	0.4759825327510917	0.7898550724637681	0.8870608853182106	0.8071292170591979	0.4380053908355795	0.7869249394673123	0.8745602779672729	0.7265446224256293	0.3536231884057971	0.8840579710144928	0.8786822621298047	0.6956078930617441	0.33098591549295775	0.910411622276029	0.8672761656873107	0.6907216494845361	0.32065217391304346	0.855072463768116	0.8269446909198461	0.7273421588594705	0.3562559694364852	0.9031476997578692	0.87451599159501	0.6391752577319587	0.28878281622911695	0.8768115942028986	0.8538795228236222	0.6582230142566191	0.30658105939004815	0.9249394673123487	0.8625339896026852	0.7880870561282932	0.41454545454545455	0.8260869565217391	0.8619343389529726	0.8034623217922607	0.43378202344767697	0.8062953995157385	0.8766291925693875	0.7789232531500573	0.4028268551236749	0.8260869565217391	0.8567780735482599	0.7916242362525459	0.419237012987013	0.8337368845843423	0.877772699590155	0.7468499427262314	0.36212624584717606	0.7898550724637681	0.8396036675539782	0.7678207739307535	0.3925817113477782	0.8627925746569814	0.8780064629187202	0.7454128440366973	0.367601246105919	0.8613138686131386	0.8595362232484235	0.7541046200840015	0.37868162692847124	0.8709677419354839	0.8751152334894967	0.7935779816513762	0.42066420664206644	0.8321167883211679	0.887769998510353	0.7925416825760468	0.4194880264244426	0.8193548387096774	0.8747883628191316	0.7603211009174312	0.37755102040816324	0.8102189781021898	0.8490590396742639	0.7731958762886598	0.39857784431137727	0.8588709677419355	0.8772821227824714	3.6577990617397895	0.0018629453270694817	0.05196327952439689	0.05058283717114442	0.03179963365313856	0.01879658387027406	0.046826140230289956	0.042032649803672724	0.04389145457784851	0.00476302283443716
156.44345633983613	0.005549931526184082	0.7894375071600412	0.42803264197204743	0.7394055779055692	0.8543472594630972	0.7974974873010894	0.44346094119750584	0.7567044833242209	0.8660575456613285	4.51600535068	True	hinge	l2	{'C': 4.5160053506834119, 'dual': True, 'loss': 'hinge', 'penalty': 'l2'}	2	3	18	17	0.8535469107551488	0.5271739130434783	0.7028985507246377	0.882138074984247	0.8370464672183323	0.4882790165809034	0.6892655367231638	0.8605313823313843	0.7986270022883295	0.4251968503937008	0.782608695652174	0.8723515280403277	0.7863781031190324	0.4094845360824742	0.801452784503632	0.8706851246226772	0.7938144329896907	0.4146341463414634	0.7391304347826086	0.8281474908804101	0.8118635437881874	0.44402810304449647	0.7651331719128329	0.8707040575776216	0.8052691867124857	0.43103448275862066	0.7246376811594203	0.8489204377403136	0.8226832993890021	0.46161515453639085	0.7473769168684423	0.8673100067659024	0.8235967926689576	0.46116504854368934	0.6884057971014492	0.8524006704130928	0.8397403258655805	0.4942062572421784	0.688458434221146	0.8636149239192762	0.7880870561282932	0.401673640167364	0.6956521739130435	0.8448289460711821	0.817082484725051	0.45180136319376824	0.7489911218724778	0.8700095371534885	0.8339060710194731	0.48128342245989303	0.6521739130434783	0.8469289164941339	0.8393584521384929	0.49340974212034383	0.6949152542372882	0.8648478989293481	0.5791284403669725	0.26814516129032256	0.9708029197080292	0.8487561447936838	0.5736286114292987	0.26450892857142855	0.9556451612903226	0.8590614594860746	0.8061926605504587	0.4349593495934959	0.781021897810219	0.8785639803366603	0.816214840269823	0.45058139534883723	0.75	0.8662342719388476	0.8119266055045872	0.43478260869565216	0.656934306569343	0.840389294403893	0.8309787450680921	0.4766949152542373	0.7258064516129032	0.8675767938886642	3.4326970181158196	0.0007198782044331607	0.07251624442111604	0.06348055202448671	0.08806914267550801	0.016658207392602598	0.07618231333171582	0.06466181740034398	0.07471306985295599	0.003865800720025691
185.03235492706298	0.005350828170776367	0.7687020277236797	0.4553671449007902	0.6728647037637424	0.8321025473304466	0.7728740129153412	0.4694508684528101	0.7042273946210523	0.843023740378168	15.026651907	True	hinge	l2	{'C': 15.026651907000801, 'dual': True, 'loss': 'hinge', 'penalty': 'l2'}	5	2	19	19	0.868421052631579	0.56353591160221	0.7391304347826086	0.8863421550094518	0.8355187778485041	0.4850367024280068	0.6933010492332526	0.8534197064762411	0.7620137299771167	0.38333333333333336	0.8333333333333334	0.861669029615627	0.7374920432845321	0.3597955706984668	0.8523002421307506	0.861055279201837	0.7686139747995419	0.38321167883211676	0.7608695652173914	0.8145913437838904	0.785132382892057	0.4081047891936144	0.804681194511703	0.8602699066886074	0.8258877434135166	0.46601941747572817	0.6956521739130435	0.8439120575766537	0.8361761710794298	0.4866962305986696	0.70863599677159	0.856917692987088	0.861397479954181	0.5669291338582677	0.5217391304347826	0.8301291531105195	0.8714358452138493	0.6067101584342963	0.5254237288135594	0.8425059672770372	0.3161512027491409	0.1843191196698762	0.9710144927536232	0.7487922705314008	0.31911914460285135	0.1873097991479002	0.993543179983858	0.7608549309791359	0.7376861397479955	0.3517915309446254	0.782608695652174	0.8378684807256237	0.7533095723014257	0.37450628366247757	0.8418079096045198	0.864943648583887	0.8577981651376146	0.5656565656565656	0.40875912408759124	0.8169770097820149	0.8733613338424335	0.6188166828322017	0.5145161290322581	0.8409521296562616	0.8715596330275229	0.6470588235294118	0.40145985401459855	0.8466060876905507	0.8750159093801706	0.6675324675324675	0.41451612903225804	0.832534783329352	0.8176605504587156	0.4421052631578947	0.6131386861313869	0.8340433983812503	0.8421789487081583	0.5	0.6935483870967742	0.8567833586022319	4.526024331244047	0.0008278236953342769	0.15765348483582864	0.12958315470674406	0.17580174796631118	0.03418781278657902	0.1583218894078916	0.13647924098393951	0.16935027323569152	0.02908571000058429
